,0
2023-09-11,1
2023-09-12,2
2023-09-13,3
2023-09-14,4
2023-09-15,5
2023-09-16,6
2023-09-17,7
2023-09-18,8
2023-09-19,9
2023-09-20,10
2023-09-21,11
2023-09-22,12
2023-09-23,13
2023-09-24,14
2023-09-25,15
2023-09-26,16
2023-09-27,17
2023-09-28,18
2023-09-29,19
2023-09-30,20
2023-10-01,21
2023-10-02,22
2023-10-03,23
2023-10-04,24
2023-10-05,25
2023-10-06,26
2023-10-07,27
2023-10-08,28
2023-10-09,29
2023-10-10,30
2023-10-11,31
2023-10-12,32
2023-10-13,33
2023-10-14,34
2023-10-15,35
2023-10-16,36
2023-10-17,37
2023-10-18,38
2023-10-19,39
2023-10-20,40
2023-10-21,41
2023-10-22,42
2023-10-23,43
2023-10-24,44
2023-10-25,45
2023-10-26,46
2023-10-27,47
2023-10-28,48
2023-10-29,49
2023-10-30,50
2023-10-31,51
2023-11-01,52
2023-11-02,53
2023-11-03,54
2023-11-04,55
2023-11-05,56
2023-11-06,57
2023-11-07,58
2023-11-08,59
2023-11-09,60
2023-11-10,61
2023-11-11,62
2023-11-12,63
2023-11-13,64
2023-11-14,65
2023-11-15,66
2023-11-16,67
2023-11-17,68
2023-11-18,69
2023-11-19,70
2023-11-20,71
2023-11-21,72
2023-11-22,73
2023-11-23,74
2023-11-24,75
2023-11-25,76
2023-11-26,77
2023-11-27,78
2023-11-28,79
2023-11-29,80
2023-11-30,81
2023-12-01,82
2023-12-02,83
2023-12-03,84
2023-12-04,85
2023-12-05,86
2023-12-06,87
2023-12-07,88
2023-12-08,89
2023-12-09,90
2023-12-10,91
2023-12-11,92
2023-12-12,93
2023-12-13,94
2023-12-14,95
2023-12-15,96
2023-12-16,97
2023-12-17,98
2023-12-18,99
2023-12-19,100
2023-12-20,101
2023-12-21,102
2023-12-22,103
2023-12-23,104
2023-12-24,105
2023-12-25,106
2023-12-26,107
2023-12-27,108
2023-12-28,109
2023-12-29,110
2023-12-30,111
2023-12-31,112
2024-01-01,113
2024-01-02,114
2024-01-03,115
2024-01-04,116
2024-01-05,117
2024-01-06,118
2024-01-07,119
2024-01-08,120
2024-01-09,121
2024-01-10,122
2024-01-11,123
2024-01-12,124
2024-01-13,125
2024-01-14,126
2024-01-15,127
2024-01-16,128
2024-01-17,129
2024-01-18,130
2024-01-19,131
2024-01-20,132
2024-01-21,133
2024-01-22,134
2024-01-23,135
2024-01-24,136
2024-01-25,137
2024-01-26,138
2024-01-27,139
2024-01-28,140
2024-01-29,141
2024-01-30,142
2024-01-31,143
2024-02-01,144
2024-02-02,145
2024-02-03,146
2024-02-04,147
2024-02-05,148
2024-02-06,149
2024-02-07,150
2024-02-08,151
2024-02-09,152
2024-02-10,153
2024-02-11,154
2024-02-12,155
2024-02-13,156
2024-02-14,157
2024-02-15,158
2024-02-16,159
2024-02-17,160
2024-02-18,161
2024-02-19,162
2024-02-20,163
2024-02-21,164
2024-02-22,165
2024-02-23,166
2024-02-24,167
2024-02-25,168
2024-02-26,169
2024-02-27,170
2024-02-28,171
2024-02-29,172
2024-03-01,173
2024-03-02,174
2024-03-03,175
2024-03-04,176
2024-03-05,177
2024-03-06,178
2024-03-07,179
2024-03-08,180
2024-03-09,181
2024-03-10,182
2024-03-11,183
2024-03-12,184
2024-03-13,185
2024-03-14,186
2024-03-15,187
2024-03-16,188
2024-03-17,189
2024-03-18,190
2024-03-19,191
2024-03-20,192
2024-03-21,193
2024-03-22,194
2024-03-23,195
2024-03-24,196
2024-03-25,197
2024-03-26,198
2024-03-27,199
2024-03-28,200
